date,crop,price_nominal,price_real
2018-02-01,Maize (corn),770.0,879.597898103724
2018-02-01,Wheat,916.0,1067.4746533038108
2018-03-01,Barley,832.0,884.0718308362556
2018-03-01,Maize (corn),781.0,892.1635823623486
2018-03-01,Wheat,912.0,1062.8131919356717
2018-04-01,Barley,832.0,884.0718308362556
2018-04-01,Maize (corn),797.0,910.4409412839844
2018-04-01,Wheat,919.0,1070.970749329915
2018-05-01,Barley,841.0,893.6351078525131
2018-05-01,Maize (corn),832.0,950.4226639250628
2018-05-01,Wheat,945.0,1101.2702482228178
2018-06-01,Barley,830.0,881.946658165976
2018-06-01,Maize (corn),845.0,965.2730180488919
2018-06-01,Wheat,974.0,1135.0658431418249
2018-07-01,Barley,834.0,886.197003506535
2018-07-01,Maize (corn),842.0,961.8460132510852
2018-07-01,Wheat,965.0,1124.5775550635124
2018-08-01,Barley,842.0,894.6976941876528
2018-08-01,Maize (corn),853.0,974.4116975097098
2018-08-01,Wheat,968.0,1128.0736510896165
2018-09-01,Barley,891.0,946.7644246094997
2018-09-01,Maize (corn),890.0,1016.6780900159927
2018-09-01,Wheat,991.0,1154.8770539564152
2018-10-01,Barley,900.0,956.3277016257572
2018-10-01,Maize (corn),930.0,1062.3714873200822
2018-10-01,Wheat,995.0,1159.5385153245543
2018-11-01,Barley,911.0,968.0161513122943
2018-11-01,Maize (corn),929.0,1061.22915238748
2018-11-01,Wheat,1030.0,1200.3263022957697
2018-12-01,Barley,923.0,980.767187333971
2018-12-01,Maize (corn),934.0,1066.9408270504912
2018-12-01,Wheat,1036.0,1207.318494347978
2019-01-01,Barley,942.0,1000.9563277016259
2019-01-01,Maize (corn),979.0,1118.3458990175918
2019-01-01,Wheat,1046.0,1218.9721477683254
2019-02-01,Barley,969.0,1029.6461587503986
2019-02-01,Maize (corn),1003.0,1145.7619374000456
2019-02-01,Wheat,1086.0,1265.5867614497145
2019-03-01,Barley,979.0,1040.272022101796
2019-03-01,Maize (corn),1009.0,1152.6159469956592
2019-03-01,Wheat,1087.0,1266.752126791749
2019-04-01,Barley,1031.0,1095.526511529062
2019-04-01,Maize (corn),1072.0,1224.5830477496002
2019-04-01,Wheat,1093.0,1273.7443188439574
2019-05-01,Barley,1066.0,1132.7170332589524
2019-05-01,Maize (corn),1084.0,1238.291066940827
2019-05-01,Wheat,1175.0,1369.3042768908053
2019-06-01,Barley,1089.0,1157.1565189671662
2019-06-01,Maize (corn),1093.0,1248.5720813342473
2019-06-01,Wheat,1253.0,1460.202773569514
