date,t2m_min,t2m_max,t2m_mean,precipitation
2004-12-13,-3.522522,5.0545044,-0.66122437,0.0
2004-12-14,-2.843689,4.0515747,-0.68222046,0.0
2004-12-15,-5.163208,-0.96554565,-3.5205994,0.0
2004-12-16,-6.48407,-0.72125244,-4.6443176,0.0
2004-12-17,-6.293152,3.6573792,-2.9978027,0.0
2004-12-18,-3.8379211,4.7438965,-0.4270935,1.334591031074524
2004-12-19,-0.66922,4.6813965,1.0667725,3.0504939556121826
2004-12-20,0.35595703,5.6835938,1.9150696,0.0
2004-12-21,-0.46102905,7.254303,2.1532898,0.0
2004-12-22,-0.6218567,5.6911316,2.1805725,4.678216934204102
2004-12-23,1.6808777,5.587799,2.8225098,0.0
2004-12-24,0.20736694,4.5736084,1.620636,0.0
2004-12-25,-1.4969788,3.95755,0.12814331,0.0
2004-12-26,-2.8265686,7.251831,0.4694519,0.0
2004-12-27,-0.83044434,10.431671,3.4909668,0.0
2004-12-28,1.7892151,11.086914,4.7871094,1.6429346799850464
2004-12-29,3.0812073,10.416687,5.6159363,4.92880392074585
2004-12-30,2.41214,11.77066,5.51001,0.0
2004-12-31,0.9530945,12.602966,4.8490295,0.0
2005-01-01,1.3150635,11.470673,4.712738,0.0
2005-01-02,0.36468506,3.7848816,1.9850464,4.102363586425781
2005-01-03,-1.5930481,3.769104,0.18234253,0.0
2005-01-04,-1.8476868,3.5765686,0.08065796,0.0
2005-01-05,-3.1089172,1.586853,-1.2894897,0.0
2005-01-06,-3.2903748,3.5125427,-0.76657104,0.0
2005-01-07,-3.1926575,4.996216,-0.23995972,0.0
2005-01-08,-2.3407898,5.292328,0.011810303,0.0
2005-01-09,-3.0922241,5.299011,-0.29766846,0.0
2005-01-10,-2.630127,7.5110474,0.9090576,0.0
2005-01-11,-1.6890564,6.7026978,1.0887146,0.0
2005-01-12,-0.93426514,8.8454895,2.3750916,0.0
2005-01-13,-0.17715454,9.654633,2.967743,0.0
2005-01-14,-0.33615112,7.725708,2.4697876,0.0
2005-01-15,0.0657959,6.721527,2.4325256,0.0
2005-01-16,0.55059814,3.7199097,1.6173401,7.728571891784668
2005-01-17,-0.24230957,4.9312134,1.4101868,0.0
2005-01-18,-1.2037048,4.69812,0.9109192,0.0
2005-01-19,-3.6043396,5.274231,-0.22225952,0.0
2005-01-20,-3.4309998,5.936981,0.07077026,0.0
2005-01-21,-0.18334961,5.6838684,1.912262,1.3251816034317017
2005-01-22,0.128479,5.6820984,1.9363098,1.3251816034317017
2005-01-23,-2.4803772,4.9641113,0.9732361,1.3251816034317017
2005-01-24,-6.2156067,0.033447266,-4.199463,0.0
2005-01-25,-5.5952454,4.71933,-0.9130554,7.951088905334473
2005-01-26,0.35687256,7.352478,2.570221,6.073996543884277
2005-01-27,-0.01965332,8.366669,2.8754578,2.429598569869995
2005-01-28,1.721283,9.26767,4.8420105,1.2147992849349976
2005-01-29,5.5003357,11.635895,7.3248596,1.2147992849349976
2005-01-30,4.452606,9.196533,6.3857727,0.0
2005-01-31,0.6168823,4.967499,2.2685242,0.0
2005-02-01,-1.3793335,3.5710144,0.2246399,0.0
2005-02-02,-4.081299,4.654846,-0.8769226,0.0
2005-02-03,-3.113617,3.211853,-0.038116455,8.307281494140625
2005-02-04,-1.6656799,3.2237244,-0.21383667,0.0
2005-02-05,-4.2320557,2.335022,-1.4710693,0.0
2005-02-06,-4.989563,-1.0262146,-3.5357056,0.0
2005-02-07,-8.654755,-2.2631226,-6.1704407,0.0
2005-02-08,-7.6082153,-2.14505,-5.6970215,0.0
2005-02-09,-9.360626,-2.3418274,-6.5691223,0.0
2005-02-10,-7.657593,-1.5097351,-5.597809,0.0
2005-02-11,-7.6722107,-1.0933228,-5.3931885,0.0
2005-02-12,-7.6163635,-0.37020874,-5.0010376,0.0
2005-02-13,-6.6770935,2.4974976,-2.7221985,0.0
2005-02-14,-1.1777039,5.670471,1.6298218,0.0
2005-02-15,0.15692139,7.694275,2.5212097,0.0
2005-02-16,-0.13510132,6.891571,3.162201,0.0
2005-02-17,3.3035889,10.492798,5.5625916,0.0
2005-02-18,4.0533447,10.989929,6.655426,7.9977521896362305
2005-02-19,3.0230408,8.380341,4.842041,0.0
2005-02-20,0.11331177,7.1634216,2.323822,0.0
2005-02-21,-1.7307434,7.74704,1.9493713,0.0
2005-02-22,-1.438446,8.704529,2.6766357,0.0
2005-02-23,0.7285156,9.924652,4.0278015,0.0
2005-02-24,0.12289429,9.783356,3.905487,0.0
2005-02-25,0.043914795,10.405731,4.143463,0.0
2005-02-26,0.35986328,10.722839,4.759094,2.583299398422241
2005-02-27,3.807251,10.345642,6.181305,1.2916496992111206
2005-02-28,5.037781,10.005737,6.5422363,0.0
2005-03-01,5.345001,12.373077,8.114716,2.1422231197357178
2005-03-02,7.5057373,13.649689,9.938263,1.0711115598678589
2005-03-03,4.3430176,9.762878,7.117279,0.0
2005-03-04,-0.66256714,7.44812,2.6913147,0.0
2005-03-05,-1.1045227,11.076691,4.5966797,3.213334798812866
2005-03-06,4.3888855,9.745911,6.082672,3.711283445358277
2005-03-07,3.164734,12.409515,7.115082,4.948378086090088
2005-03-08,4.651306,8.925964,5.845154,0.0
2005-03-09,0.9522095,6.913025,2.6985168,0.0
2005-03-10,-0.7644348,5.264435,1.1048584,0.0
2005-03-11,-3.2015686,4.5315857,-0.060577393,0.0
2005-03-12,-3.8912354,4.1142883,-0.9738159,0.0
2005-03-13,-4.132904,7.652313,1.223175,0.0
2005-03-14,-2.2447205,8.985565,2.9465027,0.0
2005-03-15,0.5796509,10.276886,4.8439026,0.0
2005-03-16,1.3127441,10.245544,5.0592957,0.0
2005-03-17,0.32556152,10.592438,4.88562,0.0
2005-03-18,1.2254028,13.865082,7.0019836,0.0
2005-03-19,4.1773376,14.729431,8.516113,0.0
2005-03-20,3.336792,11.87793,6.6931458,0.0
2005-03-21,2.9352417,10.417847,5.906311,0.0
2005-03-22,1.7713318,10.073395,5.057373,0.0
2005-03-23,-0.5308838,7.01593,2.2114563,0.0
2005-03-24,-2.1065369,8.214874,2.5296936,0.0
2005-03-25,0.23532104,10.623657,4.978546,0.0
2005-03-26,1.1434631,14.341827,7.556793,0.0
2005-03-27,3.2443237,14.566254,8.45108,0.0
2005-03-28,4.7110596,16.712463,10.360901,2.956812858581543
2005-03-29,7.2653503,15.60553,10.704651,0.7392032146453857
2005-03-30,6.123993,15.394623,10.144531,0.7392032146453857
2005-03-31,6.274658,14.822937,10.205994,1.4784064292907717
2005-04-01,3.634369,8.962219,5.904999,0.0
2005-04-02,-1.3213501,3.1638794,0.47253418,0.0
2005-04-03,-2.4927979,3.7184448,0.015716553,0.0
2005-04-04,-3.2834473,5.2457275,0.45092773,0.0
2005-04-05,-2.4330444,8.3784485,2.6913757,0.0
2005-04-06,-0.3947754,11.34729,5.29364,0.0
2005-04-07,1.8486328,14.310547,8.3038025,0.0
2005-04-08,5.7095337,16.875885,10.548157,2.208777666091919
2005-04-09,7.0638123,18.742706,12.601715,0.0
2005-04-10,7.42749,20.690277,14.14386,0.0
2005-04-11,9.9817505,22.79306,16.109558,0.0
2005-04-12,11.172363,23.2677,16.483429,0.0
2005-04-13,11.600067,22.34613,16.180695,6.191318035125732
2005-04-14,7.903595,14.384918,10.098755,0.0
2005-04-15,4.688324,13.715485,8.781036,0.0
2005-04-16,4.4956665,15.296234,9.899597,0.0
2005-04-17,5.2196045,18.861664,11.954559,5.9926652908325195
2005-04-18,8.945435,15.580658,11.804352,1.782095432281494
2005-04-19,7.435028,16.012054,10.822632,0.0
2005-04-20,5.5443726,17.900452,11.258759,0.0
2005-04-21,6.609894,21.19278,13.676727,2.6292355060577393
2005-04-22,11.187805,17.459381,13.944458,5.2584710121154785
2005-04-23,10.236786,16.4982,12.389435,0.0
2005-04-24,6.657257,15.471436,10.591888,0.0
2005-04-25,6.047333,17.151855,11.365356,0.0
2005-04-26,7.1599426,19.734924,13.751862,0.0
2005-04-27,10.254303,18.143219,14.133606,9.583563804626465
2005-04-28,7.5737915,16.289825,11.472168,0.0
2005-04-29,7.2089233,17.105438,11.910431,0.0
2005-04-30,6.606781,12.477264,8.7388,0.0
2005-05-01,4.5035095,11.796326,7.7554626,0.0
2005-05-02,4.0043335,12.346741,8.040985,0.0
2005-05-03,4.0676575,14.944092,9.4505005,0.0
2005-05-04,4.6679077,12.826477,7.8911743,0.0
2005-05-05,4.5113525,18.462616,11.975189,0.0
